"('mid',)","('ordering',)","('pid',)","('category',)","('job',)"
tt0051201,3,nm0001452,actor,
tt0051201,4,nm0006471,actress,
tt0051201,5,nm0000697,director,
tt0051201,6,nm0002005,writer,in Agatha Christie's international stage success
tt0051201,7,nm0475823,writer,screen play
tt0051201,8,nm0546140,writer,adaptation
tt0051201,9,nm0394967,producer,producer
tt0052311,10,nm0005797,cinematographer,director of photography
tt0052311,1,nm0000032,actor,
tt0052311,2,nm0000080,actor,
tt0052311,3,nm0001463,actress,
tt0052311,4,nm0130407,actor,
tt0052311,5,nm0557767,writer,"based on the novel ""Badge Of Evil"" by"
tt0052311,6,nm0168759,writer,contributing writer: reshoots
tt0052311,7,nm0597574,writer,additional scenes
tt0052311,8,nm0428572,producer,producer
tt0052311,9,nm0000049,composer,
tt0052357,10,nm0027173,writer,contributing writer
tt0052357,1,nm0000071,actor,
tt0052357,2,nm0001571,actress,
tt0052357,3,nm0000895,actress,
tt0052357,4,nm0375738,actor,
tt0052357,5,nm0000033,director,
tt0052357,6,nm0178785,writer,screenplay by
tt0052357,7,nm0853138,writer,screenplay by
tt0052357,8,nm0092267,writer,"based on the novel ""D'Entre Les Morts"" by"
tt0052357,9,nm0092268,writer,"based on the novel ""D'Entre Les Morts"" by"
tt0052618,10,nm0067103,writer,contributing writer
tt0052618,1,nm0000032,actor,
tt0052618,2,nm0370144,actor,
tt0052618,3,nm0000963,actor,
tt0052618,4,nm0361823,actress,
tt0052618,5,nm0943758,director,
tt0052618,6,nm0908753,writer,A Tale of Christ
tt0052618,7,nm0876562,writer,screen play by
tt0052618,8,nm0000683,writer,contributing writer
tt0052618,9,nm0027173,writer,contributing writer
tt0053125,10,nm0102327,production_designer,
tt0053125,1,nm0000026,actor,
tt0053125,2,nm0001693,actress,
tt0053125,3,nm0000051,actor,
tt0053125,4,nm0484829,actress,
tt0053125,5,nm0000033,director,
tt0053125,6,nm0499626,writer,written by
tt0053125,7,nm0002136,composer,
tt0053125,8,nm0122079,cinematographer,director of photography
tt0053125,9,nm0866462,editor,film editor
tt0053198,1,nm0529543,actor,
tt0053198,2,nm0753716,actor,
tt0053198,3,nm0561158,actress,
tt0053198,4,nm0213948,actor,
tt0053198,5,nm0000076,director,
tt0053198,6,nm0610115,writer,adaptation
tt0053198,7,nm0176036,composer,
tt0053198,8,nm0005684,cinematographer,director of photography
tt0053198,9,nm0950391,editor,
tt0053285,10,nm0672093,writer,story adaptation
tt0053285,1,nm0182250,actress,
tt0053285,2,nm0794301,actor,
tt0053285,3,nm0041598,actress,
tt0053285,4,nm0271658,actress,
tt0053285,5,nm0164203,director,sequence director
tt0053285,6,nm0314671,director,supervising director
tt0053285,7,nm0488981,director,sequence director
tt0053285,8,nm0718627,director,sequence director
tt0053285,9,nm0527217,director,sequence director
tt0053291,10,nm0485702,cinematographer,director of photography
tt0053291,1,nm0000054,actress,
tt0053291,2,nm0000348,actor,
tt0053291,3,nm0000493,actor,
tt0053291,4,nm0706368,actor,
tt0053291,5,nm0000697,director,
tt0053291,6,nm0224634,writer,screenplay
tt0053291,7,nm0858329,writer,suggested by a story by
tt0053291,8,nm0517615,writer,suggested by a story by
tt0053291,9,nm0006037,composer,
tt0053604,1,nm0000493,actor,
tt0053604,2,nm0000511,actress,
tt0053604,3,nm0534045,actor,
tt0053604,4,nm0001827,actor,
tt0053604,5,nm0000697,director,
tt0053604,6,nm0224634,writer,written by
tt0053604,7,nm0006037,composer,
tt0053604,8,nm0005766,cinematographer,director of photography
tt0053604,9,nm0541721,editor,film editor
tt0054215,10,nm0866462,editor,
tt0054215,1,nm0000578,actor,
tt0054215,2,nm0001463,actress,
tt0054215,3,nm0587256,actress,
tt0054215,4,nm0001260,actor,
tt0054215,5,nm0000033,director,
tt0054215,6,nm0825010,writer,screenplay by
tt0054215,7,nm0088645,writer,based on the novel by
tt0054215,8,nm0002136,composer,
tt0054215,9,nm0005852,cinematographer,director of photography
tt0054331,10,nm1306202,writer,
tt0054331,1,nm0000018,actor,
tt0054331,2,nm0000059,actor,
tt0054331,3,nm0001739,actress,
tt0054331,4,nm0001452,actor,
tt0054331,5,nm0000040,director,
tt0054331,6,nm0874308,writer,screenplay by
tt0054331,7,nm0268779,writer,based on the novel by
tt0054331,8,nm0001811,writer,
tt0054331,9,nm0932229,writer,battle scenes
tt0054698,10,nm0000049,composer,
tt0054698,1,nm0000030,actress,
tt0054698,2,nm0000577,actor,
tt0054698,3,nm0623658,actress,
tt0054698,4,nm0001171,actor,
tt0054698,5,nm0001175,director,
tt0054698,6,nm0001986,writer,based on the novel by
tt0054698,7,nm0043480,writer,screenplay
tt0054698,8,nm0433021,producer,producer
tt0054698,9,nm0791847,producer,producer
tt0055254,10,nm0005980,composer,
tt0055254,1,nm0001792,actor,
tt0055254,2,nm0314867,actress,
tt0055254,3,nm0641729,actor,
