"('mid',)","('pid',)"
tt0382625,nm0000165
tt0382932,nm0684342
tt0382932,nm0083348
tt0383574,nm0893659
tt0384537,nm0304521
tt0384793,nm0684336
tt0384806,nm1497918
tt0385002,nm0591994
tt0385004,nm0955443
tt0385752,nm0919363
tt0385880,nm1481493
tt0386117,nm0005069
tt0386140,nm0132709
tt0386588,nm0855035
tt0387131,nm0576987
tt0387564,nm1490123
tt0387808,nm0431918
tt0388482,nm0504642
tt0388795,nm0000487
tt0389722,nm1720541
tt0389790,nm0971239
tt0389790,nm9054338
tt0389860,nm0178997
tt0390384,nm1503403
tt0390521,nm1041597
tt0391198,nm1234345
tt0393109,nm0426059
tt0393162,nm0141961
tt0395169,nm0313623
tt0396171,nm0878756
tt0396269,nm0229694
tt0397065,nm1429471
tt0397101,nm0812200
tt0397535,nm0551128
tt0397892,nm0930261
tt0397892,nm0397174
tt0398165,nm0781842
tt0398286,nm1977355
tt0398286,nm0397174
tt0398808,nm0190780
tt0399146,nm0000343
tt0399201,nm0000881
tt0399295,nm0629272
tt0401383,nm0773603
tt0401729,nm0004056
tt0401792,nm0001675
tt0401792,nm0588340
tt0401792,nm0000233
tt0401855,nm0936482
tt0402022,nm0476201
tt0404032,nm0220600
tt0404203,nm0276062
tt0405094,nm0003697
tt0405159,nm0000142
tt0405296,nm0000500
tt0405422,nm0031976
tt0405508,nm1018493
tt0406375,nm0269463
tt0407304,nm0000229
tt0407887,nm0000217
tt0408236,nm0000318
tt0408306,nm0000229
tt0408790,nm0777881
tt0409182,nm0000583
tt0409459,nm0811583
tt0409847,nm0269463
tt0410297,nm0002159
tt0411477,nm0868219
tt0412019,nm0000464
tt0413099,nm0001723
tt0413267,nm1844237
tt0413267,nm0401203
tt0413300,nm0000600
tt0414387,nm0942504
tt0414982,nm0939128
tt0414993,nm0004716
tt0415306,nm0570912
tt0416320,nm0000095
tt0416449,nm0811583
tt0417148,nm0254786
tt0417741,nm0946734
tt0418279,nm0000881
tt0418689,nm0000142
tt0418763,nm0005222
tt0419706,nm0005647
tt0420223,nm0286975
tt0421073,nm0043742
tt0421239,nm0000127
tt0421715,nm0000399
tt0422720,nm0001068
tt0424095,nm0271402
tt0424095,nm0101047
tt0424136,nm1720541
tt0424345,nm0003620
tt0425061,nm0781842
tt0425112,nm0942367
tt0425123,nm0914132
tt0425210,nm0006476
tt0426883,nm0001024
tt0426931,nm0792202
tt0427152,nm0005366
tt0427327,nm0788202
tt0427944,nm0718646
tt0429493,nm0138620
tt0430105,nm0005436
tt0430357,nm0000520
tt0430922,nm0906476
tt0431197,nm0000916
tt0431308,nm0481418
tt0432021,nm0611683
tt0432283,nm0027572
tt0432348,nm1135423
